score_id,transaction_id,account_id,risk_score,score_reason,timestamp
157,4741,36,2.5,Cell machine billion responsibility.,2021-09-26 22:31:40
158,3340,330,3.61,Life station break.,2024-01-22 00:55:52
159,3775,366,6.08,With because among watch.,2020-05-21 11:19:12
160,3915,192,2.75,But security few nice.,2021-07-25 10:59:51
161,2685,132,5.88,Fly report view church.,2023-02-03 00:26:04
162,1301,159,5.66,Movie eye strategy gun.,2022-05-27 05:25:37
163,2679,879,1.07,Edge all hour.,2021-03-29 12:35:09
164,3534,268,6.98,Project clearly son various.,2023-07-12 20:36:56
165,3212,222,7.57,Rate reduce under tell only.,2021-05-18 12:33:05
166,1966,844,3.51,Rich free half certain.,2022-12-23 21:05:07
167,4842,706,8.46,Network president conference live.,2020-03-13 13:44:02
168,4763,494,2.67,Movement everything.,2021-04-10 02:41:43
169,2618,355,6.01,Debate single item meeting movement.,2024-08-28 21:49:01
170,203,365,7.7,Operation him traditional so anything.,2024-08-17 02:24:21
171,976,665,5.03,Middle whom market measure.,2024-11-26 04:19:33
172,326,556,2.85,Buy about reason.,2023-10-23 15:40:09
173,1455,794,8.28,Maintain idea each.,2022-05-26 19:52:51
174,21,819,5.23,Officer television these small.,2021-08-28 11:17:25
175,3286,194,1.76,Hundred draw lay interview season.,2021-03-25 05:51:03
176,2641,709,2.55,Party if fear.,2022-10-27 23:43:23
177,3434,67,2.03,Far less recognize.,2023-05-26 00:45:58
178,895,24,8.52,Station toward.,2020-05-05 22:30:49
179,1554,795,3.52,Window identify prepare bad.,2024-05-12 20:38:10
180,2235,734,3.82,Television station.,2023-06-11 02:39:06
181,4249,639,1.31,Top speak.,2024-09-21 15:10:30
182,3723,332,6.51,Could child product if moment.,2024-07-13 14:52:11
183,1761,817,4.4,Source quite.,2020-11-20 15:09:27
184,4999,628,2.4,Cover economic great cold.,2022-12-21 07:49:03
185,2747,179,4.37,Movement style them.,2022-06-15 06:09:35
186,2539,455,2.51,Need myself operation.,2020-03-20 16:58:30
187,63,863,2.39,Phone move year.,2022-03-31 02:38:40
188,650,528,6.47,Number suffer voice.,2021-12-26 14:51:06
189,1171,832,2.75,Affect authority war hotel.,2021-11-22 09:01:46
190,3485,265,8.31,New kitchen audience.,2023-10-19 08:42:06
191,1285,449,3.89,Friend prepare only stuff.,2020-05-31 15:09:31
192,2516,923,2.79,Agency loss southern rather.,2020-06-20 23:32:28
193,4728,927,5.57,Fight work check.,2024-07-10 03:48:49
194,3274,276,2.26,Sometimes believe though.,2024-10-29 04:03:14
195,1169,709,5.39,War reality pattern.,2022-10-03 21:13:47
196,303,137,7.75,Improve study receive huge.,2020-05-30 13:05:33
197,1612,590,7.07,Professional similar must.,2023-07-01 00:01:24
198,1444,912,1.48,Method company.,2023-11-12 05:31:08
199,3535,879,2.66,Together cut must blood fear.,2021-06-09 14:06:21
200,1398,688,2.78,I mention soon.,2024-07-04 12:55:57
201,360,763,7.57,Bit performance cell.,2024-02-10 18:52:45
202,2189,186,5.45,International population ability teacher rock.,2024-12-21 07:16:58
203,1341,179,9.21,Take return sometimes decade example.,2023-04-03 13:13:33
204,3417,783,2.69,Similar like.,2021-03-03 16:09:24
205,1264,532,6.11,Thank law decade today writer.,2020-08-02 10:51:45
206,4803,807,4.97,Half key sing.,2024-09-03 12:28:37
207,2407,17,4.9,Memory low.,2020-12-26 11:09:34
208,182,697,2.34,Though gun camera name.,2020-09-30 07:52:22
209,458,912,5.67,Yeah really include walk carry.,2024-09-15 10:41:36
210,1851,9,6.71,Decision discussion into.,2024-05-18 01:15:49
211,118,308,2.3,Significant protect lot information eight.,2024-02-08 04:18:51
212,4776,512,4.02,Believe change news participant.,2020-05-23 10:44:14
213,940,157,6.72,Growth for.,2022-03-03 11:05:03
214,1232,527,6.98,Head individual city machine away.,2020-12-21 07:57:57
215,2835,551,1.98,Professor war.,2024-06-14 19:30:53
216,3513,682,6.36,Already physical section structure.,2020-12-10 19:42:41
217,3161,465,2.89,Population agency me relationship car.,2020-06-07 20:01:45
218,2602,262,5.52,Leader open hold relationship.,2024-12-13 07:42:30
219,3730,397,2.64,Read culture.,2020-12-03 23:11:39
220,3533,127,6.58,Teach need network I rate.,2022-06-29 13:04:17
221,2297,762,9.12,Open garden high.,2023-06-28 17:26:56
222,2486,48,4.07,Yet beyond decision.,2021-12-09 18:11:29
223,4328,595,5.21,Four data attention record.,2024-05-16 03:39:33
224,1550,221,3.1,Prove bad.,2024-08-17 18:45:20
225,4746,653,5.25,Provide people choice.,2022-07-19 01:30:42
226,185,122,6.89,Four finish drop light.,2024-10-03 13:53:22
227,1201,354,3.5,Evening able.,2021-01-27 22:52:26
228,580,127,9.73,Politics writer environmental site serve.,2023-09-07 10:45:16
229,2440,43,3.52,Expect hit use animal same.,2022-08-30 15:22:56
230,2516,939,4.23,Team them whole American.,2020-06-30 17:56:19
231,279,55,7.46,Discuss research.,2024-06-03 16:31:55
232,2102,172,3.31,Whose maybe.,2021-09-05 12:08:13
233,274,665,3.0,Quality southern garden happen.,2020-07-31 02:36:47
234,2734,88,5.23,Form present laugh.,2020-07-04 11:24:31
235,4584,229,3.02,Through low.,2023-02-07 13:06:42
236,2536,385,8.64,Southern reduce can.,2022-02-09 23:44:32
237,2677,324,1.74,Describe than employee.,2020-10-16 15:43:21
238,2144,970,7.61,Note old.,2021-07-07 08:56:17
239,687,575,4.99,Marriage choice against.,2023-11-29 15:01:05
240,307,224,3.64,Rest than whether.,2024-03-18 02:49:31
241,2654,454,6.67,Poor media hit live.,2024-10-30 23:12:13
242,285,175,2.9,Dream region no moment.,2024-01-05 03:02:57
243,2751,318,2.54,Relate improve.,2020-03-07 21:20:42
244,4879,114,1.86,Inside glass.,2022-08-12 15:51:15
245,2329,871,1.01,Professional about entire offer.,2022-09-10 12:15:24
246,2813,400,4.52,Policy eight per camera Mr.,2020-04-02 18:46:48
247,1421,260,4.7,Light put guess child.,2022-06-16 22:24:47
248,441,782,7.89,Play minute church.,2024-11-29 14:46:43
249,3134,459,2.41,Last box.,2021-04-18 09:55:01
250,1601,542,6.92,Something try.,2021-10-19 01:32:12
251,880,145,9.81,City lead from.,2024-01-16 07:52:37
252,536,644,9.17,Hold campaign skill fish.,2024-11-04 02:22:23
253,4745,357,4.22,Arm star oil.,2020-08-06 08:38:19
254,3715,253,4.03,Forget million those task.,2022-07-10 01:53:32
255,3937,417,9.67,Along like course which property.,2023-02-25 07:01:49
256,2158,804,1.16,East deal college.,2021-01-02 15:28:41
257,1423,15,7.27,Professor us real out.,2022-01-28 17:20:13
258,1633,681,1.18,Water name often near.,2023-05-26 15:19:45
259,4578,241,1.83,Provide big them out.,2022-05-23 00:45:27
260,167,407,2.61,Example point success north.,2021-03-05 12:12:32
261,1053,429,3.75,Close certain.,2021-09-08 23:56:29
262,1496,575,6.99,Father reason.,2024-08-12 14:18:32
263,4999,424,1.79,Result program.,2021-11-01 20:32:37
264,4943,319,2.38,Goal there team positive case.,2021-03-17 18:24:59
265,4916,951,9.74,Meet really interest.,2023-06-22 09:03:25
266,365,572,7.8,Perhaps often go suggest.,2023-06-16 02:56:36
267,4829,483,6.14,Budget including hand do bit.,2022-05-10 16:26:17
268,843,756,4.7,Last business player.,2021-08-14 10:46:26
269,4405,158,9.64,Local stuff best.,2022-02-20 01:55:21
270,2756,491,9.72,Someone pattern lay.,2022-06-13 20:45:23
271,4572,7,7.9,Figure part score fill.,2022-09-10 18:35:43
272,322,332,2.22,Country record according usually.,2020-05-09 21:03:41
273,3058,975,2.48,Teach name moment.,2020-04-18 02:44:28
274,2855,816,2.18,Talk various music.,2023-06-03 19:04:19
275,4235,235,2.4,Body sea test.,2021-06-20 20:05:56
276,4951,555,8.54,Kind speech.,2024-04-02 00:07:49
277,338,63,9.24,Plan successful wall.,2024-10-20 07:59:02
278,2475,480,2.87,Serve issue face economy.,2023-11-17 14:16:22
279,784,423,4.75,Career cover own place case.,2020-04-10 00:22:06
280,3022,511,2.53,Pass station manage kind.,2024-01-11 07:49:30
281,2767,196,5.67,Drug people together.,2020-05-17 06:23:48
282,3772,400,1.44,Reality occur.,2020-07-20 09:08:24
283,4435,235,7.66,Both night any then water.,2022-02-13 21:48:19
284,2860,309,3.46,Animal thus floor.,2024-02-20 02:31:41
285,243,794,4.79,Phone stay mission.,2024-12-15 15:47:12
286,505,572,9.6,Focus whether oil.,2020-03-23 07:17:18
287,3685,596,1.47,Involve someone quality my day.,2023-02-27 09:27:29
288,4165,352,1.96,Beat music seat heavy.,2021-04-06 03:59:46
289,1592,460,5.94,Large turn set.,2022-06-14 01:09:38
290,3260,869,6.77,Television church myself.,2022-11-15 03:22:19
291,274,881,3.06,Her likely health he.,2023-08-21 15:55:07
292,3364,362,2.62,Far fast Democrat way dinner.,2024-03-03 22:21:55
293,2441,869,3.34,Admit company international least including.,2020-05-16 21:17:31
294,2756,144,4.57,Bring boy nature.,2020-04-04 13:23:52
295,1792,361,7.79,Why continue rise.,2021-10-12 15:10:52
296,4769,41,7.84,Machine before matter everybody.,2022-01-23 21:26:33
297,4803,315,6.43,Beyond likely pay.,2024-02-03 17:51:11
298,4737,413,1.94,Travel set explain.,2024-05-28 18:55:08
299,3158,484,6.89,Across place perform.,2023-12-26 20:47:01
300,397,348,7.68,How situation.,2023-12-01 18:01:01
301,4956,785,9.67,Few commercial hot.,2022-09-08 21:19:53
302,3958,381,9.56,Until model officer bring.,2022-10-19 11:01:31
303,847,89,3.76,Such alone charge speak.,2023-09-17 06:47:42
304,795,409,2.5,American treat.,2021-06-28 05:37:13
305,3297,716,6.75,Institution company suddenly.,2020-09-14 23:11:18
306,4390,412,9.77,Per authority student arm.,2022-10-12 21:31:04
307,1762,690,5.26,Ready appear.,2020-02-24 00:56:41
308,4239,66,2.78,Power deep life my.,2024-05-19 22:33:30
309,950,27,8.34,College rate capital particular.,2022-11-17 12:42:33
310,3101,214,6.85,Cost keep head feel.,2023-04-26 09:19:32
311,441,75,8.24,Walk law.,2023-09-15 15:16:38
312,1698,49,6.15,Yes front political.,2020-10-21 21:25:16
313,4188,396,2.73,Back great itself walk.,2024-01-21 22:07:08
314,171,366,3.34,Model operation until various.,2020-01-12 13:18:52
315,1830,386,9.06,Between skill little fact score.,2020-11-04 09:09:03
316,4434,522,3.08,Material begin learn still.,2021-07-19 17:05:54
317,149,592,4.87,Word million control true.,2022-04-11 22:50:42
318,379,930,1.36,Daughter child green who study.,2021-06-18 01:13:11
319,1125,907,9.46,Threat why cell.,2023-10-31 11:54:03
320,3135,204,9.0,Author media here.,2024-03-08 07:43:33
321,4307,863,4.25,Result general.,2023-06-18 23:29:40
322,158,279,1.45,Ever stand face.,2024-05-15 11:02:25
323,3961,774,3.71,Test run especially poor leave.,2024-05-15 14:58:35
324,865,720,9.87,International pass.,2024-06-26 10:48:16
325,3296,516,4.09,Nice friend shake member fight.,2022-10-24 11:19:25
326,17,826,1.83,Be add fall worry.,2023-07-28 03:29:43
327,4581,784,2.65,Anything yard there pressure.,2022-12-17 08:12:20
328,3769,425,7.37,Sit take factor whom where.,2023-11-28 02:29:48
329,1317,934,8.04,Option sit.,2023-10-12 22:58:30
330,1801,499,4.39,Fund hold Congress.,2020-08-10 15:32:22
331,4360,127,8.95,Member hand because hot.,2023-10-30 19:06:08
332,1346,552,9.26,Common history.,2024-09-24 05:00:02
333,2725,245,4.22,Movie word until.,2022-12-06 18:25:30
334,1120,224,1.38,Spring politics.,2020-08-01 03:14:49
335,840,580,9.53,Listen PM admit return.,2021-12-10 18:53:20
336,3139,4,3.18,Particularly smile special good.,2021-02-17 07:07:14
337,4181,329,8.11,Owner nice scientist do.,2020-10-23 16:34:18
338,1962,137,8.04,Television loss.,2024-08-16 16:56:26
339,2556,12,2.81,Individual experience end there coach.,2024-04-13 07:04:35
340,2783,529,1.57,Wife country right watch.,2021-01-25 12:41:51
341,988,137,5.8,Point thus Mrs.,2022-02-28 03:51:36
342,398,887,6.6,Yet ever other happen.,2022-12-10 13:28:30
343,4564,966,7.46,President establish wait instead actually.,2022-05-24 09:58:01
344,1841,483,9.98,Sit like growth item.,2021-01-01 04:49:29
345,1367,235,4.47,Ago road entire minute.,2021-09-24 23:29:41
346,4471,124,3.12,Her standard investment program.,2023-11-26 18:56:24
347,2938,221,8.44,Site experience group side.,2021-12-04 13:03:48
348,841,761,5.13,Why cultural.,2024-06-20 23:12:14
349,2346,937,2.43,Purpose author.,2020-08-04 11:16:55
350,2623,194,9.76,Land financial cost over.,2020-10-02 21:10:15
351,3557,141,5.14,Nor between.,2020-02-10 12:23:18
352,4541,2,1.65,Sell particular clearly trouble.,2024-12-12 07:59:39
353,1346,876,4.89,Spend whole old sport per.,2021-08-26 01:23:35
354,697,548,3.4,Allow return argue window politics.,2021-09-11 00:55:46
355,888,73,8.76,Watch night very.,2024-04-25 21:03:26
356,4981,94,2.62,Woman career rock tough.,2023-08-02 19:24:14
357,4304,323,2.97,Ago economic.,2024-09-07 09:28:51
358,1065,396,8.5,Probably sound should.,2021-08-09 23:56:04
359,3136,664,5.59,Something great soldier.,2022-11-04 04:08:38
360,3706,476,7.82,Hope door really election.,2023-06-12 12:52:51
361,137,374,1.66,Finally as then trouble.,2024-11-23 09:12:56
362,49,821,5.64,Reduce yeah.,2020-04-16 15:16:20
363,1624,284,9.98,Pass film sort someone lose.,2022-01-31 22:37:33
364,2127,509,7.8,Law chair young.,2024-12-14 23:49:33
365,1716,115,1.13,Technology through.,2024-08-20 10:21:56
366,2991,208,1.18,Page career.,2020-07-19 08:13:34
367,1412,913,6.96,Here computer good firm enjoy.,2023-01-27 22:38:55
368,3083,134,1.29,Ready drug.,2021-12-27 12:17:22
369,1396,725,1.49,Send trial discussion.,2021-01-24 08:58:45
370,1313,499,2.56,Exactly lose article above.,2024-11-29 13:36:32
371,4398,103,7.08,Employee street seven.,2022-03-11 05:19:37
372,2078,627,4.72,Doctor property system.,2020-01-29 16:34:13
373,4207,764,3.96,Final discuss later past choose.,2023-09-09 15:08:03
374,3815,814,5.79,Show could behavior white.,2020-06-13 09:36:31
375,2201,235,6.49,Without something realize toward around.,2022-10-08 23:28:42
376,776,753,6.02,Government very remember.,2023-02-05 01:53:34
377,2829,389,7.79,Role art describe meet.,2022-11-11 19:06:14
378,1591,783,7.7,Name room court.,2022-05-11 12:17:51
379,942,275,2.76,Concern our.,2023-03-01 00:25:13
380,3044,433,7.38,Break carry.,2021-07-15 21:19:33
381,430,256,7.58,Arrive role situation.,2021-03-06 21:02:28
382,2354,148,1.34,Turn also.,2020-04-16 12:58:39
383,4301,917,8.08,Light low behavior win.,2023-05-11 04:01:51
384,3320,278,3.15,Process whose visit.,2021-03-26 06:03:50
385,738,887,4.11,Program vote stand reach.,2021-05-06 19:53:57
386,4076,502,3.68,Among field prevent effect.,2024-05-07 05:42:42
387,3720,76,3.32,Ok hot fight sort.,2021-12-15 08:02:00
388,4216,492,7.89,Major natural Republican go myself.,2024-04-17 10:37:09
389,1931,803,3.11,Either anyone race plant kitchen.,2022-09-10 22:06:43
390,4184,217,5.87,Government hour war already join.,2020-09-09 19:38:05
391,3936,990,2.98,Language party leader majority direction.,2023-12-10 05:13:55
392,4275,151,2.69,Learn join develop.,2020-02-28 22:32:36
393,831,398,8.46,Foreign today break.,2024-10-10 17:30:13
394,2086,565,6.12,Believe serious even.,2022-11-23 22:13:26
395,4621,435,2.02,Culture or hour but forward.,2023-03-01 04:53:22
396,2842,789,7.32,Technology word color.,2024-11-30 00:10:10
397,1274,747,4.88,Three tonight station social.,2022-01-18 10:17:57
398,2416,568,3.06,Occur establish check with.,2023-08-19 23:04:41
399,1908,768,7.2,Government key truth.,2020-10-30 01:30:59
400,2007,105,5.88,Recently a one.,2023-07-21 22:03:36
401,2983,12,8.13,Example voice movement career.,2022-08-20 20:53:27
402,3166,361,8.36,First foot writer successful family.,2023-08-21 04:59:16
403,4930,216,6.8,Gun safe threat story word.,2022-03-23 08:44:12
404,1328,431,6.04,Sense fight instead.,2020-06-30 05:51:03
405,3743,875,9.7,Next strategy item glass.,2020-03-27 09:40:27
406,4821,257,5.08,Size necessary glass evening.,2024-11-13 01:56:18
407,4888,686,1.67,Former them memory able evidence.,2024-04-24 05:42:24
408,2448,586,2.09,Data seek stop.,2022-10-12 15:11:13
409,180,288,2.02,Painting board last.,2020-08-30 10:59:44
410,2975,676,3.32,Pressure strategy establish raise.,2023-01-13 22:52:27
411,4390,309,7.1,Hotel traditional contain international.,2022-05-26 06:35:50
412,1226,533,7.02,Number every draw.,2022-06-10 19:25:11
413,4810,823,8.54,Light create.,2022-12-23 04:04:11
414,4596,859,9.27,Them value indicate.,2021-10-03 02:32:42
415,2588,853,8.61,Weight administration nature power.,2023-12-03 05:21:44
416,1242,355,8.64,Man usually science anyone short.,2024-01-30 08:15:58
417,1614,479,9.35,Affect well.,2022-08-26 08:52:05
418,4435,664,3.79,Information hour hand lawyer collection.,2021-10-22 08:29:39
419,1441,501,4.87,Pay throughout whatever have by.,2022-02-24 23:10:15
420,2180,108,9.37,Skill when personal nor member.,2020-10-22 11:47:47
421,358,865,4.48,Talk ready else.,2022-08-08 00:50:50
422,2368,894,5.44,Media finally.,2023-12-03 00:23:54
423,1055,96,5.37,Act success check.,2023-02-02 13:22:36
424,4342,488,6.75,Man attention.,2024-03-13 19:02:17
425,3327,234,1.13,Land loss common produce.,2021-03-09 15:27:06
426,3186,237,6.17,Reveal once.,2020-07-15 19:47:55
427,4007,56,6.86,Trouble ok.,2022-11-28 14:49:55
428,2372,249,5.63,Pick political member.,2021-06-30 05:43:32
429,585,370,9.45,Gun job imagine.,2023-11-09 03:03:00
